Class Name,Ages,Class Start Time,Length of Class,Day,Description,Max Capacity,Year Tuition,Month Tuition,Supply Fee,Classroom,Teacher,Image
Teen Mentoring,14+,9:30 AM,1 hour,Tuesday & Thursday,"Designed for motivated students who are ready to take ownership of their learning, Teen Mentoring provides guidance, accountability, and support for self-directed, project-based education. Students set meaningful goals, manage long-term projects, develop real-world skills, and meet regularly with a mentor who helps them stay focused, overcome challenges, and continue growing as independent learners. Approval required.",8,365,38.5,,Upper Mezzanine,Emerson,
Theater Jr.,5-10,11:30 AM,1 hour,Tuesday,"Perfect for young performers, this playful introduction to theater helps kids build confidence, creativity, and cooperation through skits, songs, movement, and games, preparing students to perform a shorter, age-appropriate show at the end of the semester.",20,365,38.5,$10,Theater Stage,Cassie,
Theater Jr.,5-10,11:30 AM,1 hour,Thursday,"Perfect for young performers, this playful introduction to theater helps kids build confidence, creativity, and cooperation through skits, songs, movement, and games, preparing students to perform a shorter, age-appropriate show at the end of the semester.",20,365,38.5,$10,Theater Stage,Alysa & Cassie,
Ukelele Jam,8+,10:30 AM,1 hour,Tuesday,"The ukulele is the perfect instrument for beginning musicians! Students will learn chords, strumming patterns, rhythm, and simple songs while developing musical confidence and enjoying the fun of making music together. This cheerful class makes learning an instrument approachable and rewarding. This class does not include an instrument, but students are welcome to bring their own or arrange a rental.",6,365,38.5,,Music Studio,Jay,
Group Voice,8+,10:30 AM,1 hour,Thursday,"Find your voice and build confidence through singing! Students will develop healthy vocal technique, breathing, pitch, harmony, rhythm, and performance skills while singing a variety of fun songs. Whether singing solo or with a group, students will grow as musicians while learning to express themselves through music.",6,365,38.5,,Music Studio,Jay,
World Wanderers,5-9,9:30 AM,1 hour,Thursday,"Pack your (imaginary) suitcase, we are off to explore the world! In World Wanderer, students will learn basic geography skills like using maps and understanding continents while visiting countries across the globe. Through stories, crafts, music, traditions, and sometimes even food, they will discover the beauty of different cultures. Students will keep maps and worksheets in their personal binders and complete a country project to share their favorite discoveries with the class.",12,365,38.5,$10,Teen 2,Kathryn,
iCreate News Network,12+,11:30 AM,1 hour,Thursday,"Become part of the iCreate media team! Students will plan, write, edit, design, and publish the monthly iCreate newspaper while also producing a weekly video news broadcast for our community. Along the way, they'll develop skills in journalism, interviewing, photography, video production, graphic design, teamwork, and communication while reporting on the exciting things happening throughout iCreate.",12,365,38.5,,Elem 1,Emerson,
iCreation Lab,5-11,1:00 PM,1 hour,Tuesday,"Every great inventor, artist, engineer, and entrepreneur starts with an idea. In iCreation Lab, students imagine, design, and build iCreation projects that match their own interests and goals. With access to the Junior Makerspace and guidance from a mentor, they'll develop creativity, initiative, problem-solving, and perseverance as they bring their ideas to life and share them in our semester showcases.",12,365,38.5,,Jr Makerspace,Teacher B,
iCreation Lab,5-11,11:30 AM,1 hour,Thursday,"Every great inventor, artist, engineer, and entrepreneur starts with an idea. In iCreation Lab, students imagine, design, and build iCreation projects that match their own interests and goals. With access to the Junior Makerspace and guidance from a mentor, they'll develop creativity, initiative, problem-solving, and perseverance as they bring their ideas to life and share them in our semester showcases.",12,365,38.5,,Jr Makerspace,Teacher B,
Kinder Nature School,5-6,9:30 AM,Full day,Monday & Wednesday,"Come discover the wonder of learning outside! Through nature exploration, stories, songs, art, practical work, and hands-on adventures, students will follow the seasons and their own curiosity as they observe, create, play, and serve. More than a science class, Nature School nurtures wonder, creativity, responsibility, and a lifelong connection with the outdoors.",16,1800,185,,TBD,TBD,
Elementary Microschool,5-7,9:30 AM,Full day,Monday & Wednesday,"Full-day learning community where students grow academically, socially, and personally through hands-on, project-based learning. Each day includes engaging lessons in math, language arts, history, science, and life skills, balanced with creativity, movement, and collaborative iCreation projects. Using our Discover • Create • Become philosophy, students build strong academic foundations while developing character, critical thinking, leadership, and a lifelong love of learning in a supportive mixed-age classroom environment.",12,2800,290,$100,TBD,TBD,
Elementary Microschool,7-9,9:30 AM,Full day,Monday & Wednesday,"Full-day learning community where students grow academically, socially, and personally through hands-on, project-based learning. Each day includes engaging lessons in math, language arts, history, science, and life skills, balanced with creativity, movement, and collaborative iCreation projects. Using our Discover • Create • Become philosophy, students build strong academic foundations while developing character, critical thinking, leadership, and a lifelong love of learning in a supportive mixed-age classroom environment.",12,2800,290,$100,TBD,TBD,
Elementary Microschool,9-11,9:30 AM,Full day,Monday & Wednesday,"Full-day learning community where students grow academically, socially, and personally through hands-on, project-based learning. Each day includes engaging lessons in math, language arts, history, science, and life skills, balanced with creativity, movement, and collaborative iCreation projects. Using our Discover • Create • Become philosophy, students build strong academic foundations while developing character, critical thinking, leadership, and a lifelong love of learning in a supportive mixed-age classroom environment.",12,2800,290,$100,TBD,TBD,
Middle School Microschool,11-14,9:30 AM,Full day,Monday & Wednesday,"A hands-on, project-based middle school microschool where students strengthen core academic skills while building leadership, character, and resilience. Through core academics, skills workshops, connection-focused mentoring, and a monthly iCreation project, students learn to take ownership of their growth in a small, supportive pod (max 10-12 students).",12,2800,290,$200,TBD,TBD,
High School Microschool,14+,9:30 AM,Full day,Monday & Wednesday,"A project-based high school microschool where students take ownership of their education through core academics, leadership development, and a self-directed semester iCreation project. Students build the confidence, skills, and independence to pursue college, career, or entrepreneurship in a small, supportive pod (max 10-12 students).",12,2800,290,$200,TBD,TBD,
The Summit Program,14+,9:30 AM,Full day,Monday & Wednesday,"The Summit Program is a mentored, project-based high school experience for students who are ready to take ownership of their education. Designed for self-motivated teens, the program combines individualized learning plans, real-world projects, mentorship, internships, and leadership opportunities to help students develop the knowledge, skills, and confidence they'll need beyond high school. Rather than simply earning credits, students build a portfolio of meaningful work while preparing for college, careers, entrepreneurship, and life. Must apply and be approved for this program.",12,2800,290,$500,TBD,TBD,
